# 2020-02-25,,,,,,,
# Leech samples collected Feb 17-20 (trip23),,,,,,,
,,,,,,,
,,,,,,,
vial,site,sample-type,sample,date-time_sampled,fill-stage,analysis,trip
1,Leech-head,Grab,Grab,2020-02-20 10:00,,DOC,23
2,Leech-head,Rack,L1,,129,DOC,23
3,Leech-head,Rack,L2,,137,DOC,23
4,Leech-head,Rack,L3,,155,DOC,23
5,Leech-head,Rack,L4,,165,DOC,23
6,Leech-head,Rack,L6,,195,DOC,23
7,Weeks-out,Grab,Grab,2020-02-20,,DOC,23
8,Weeks-out,Rack,L1,,89,DOC,23
9,Weeks-out,Rack,L2,,98,DOC,23
10,Weeks-out,Rack,L3,,115,DOC,23
11,Weeks-out,Rack,L4,,127,DOC,23
12,Weeks-out,Grab,Grab,2020-01-09 11:35,,DOC,23
13,Tunnel,Grab,Grab,2020-02-18 11:00,,DOC,23
14,Tunnel,Grab,Grab,2020-02-19 11:00,,DOC,23
15,Tunnel,Rack,L1,,41,DOC,23
16,Tunnel,Rack,L2,,57,DOC,23
17,Tunnel,Rack,L3,,70,DOC,23
18,Tunnel,Rack,L4,,87,DOC,23
19,Tunnel,Rack,L5,,103,DOC,23
20,Tunnel,Rack,L6,,117,DOC,23
21,Tunnel,Grab,Grab,2020-01-30 12:30,,DOC,23
22,West-Leech,Grab,Grab,2020-02-19 10:00,,DOC,23
23,West-Leech,Rack,L1,,37,DOC,23
24,West-Leech,Rack,L2,,51,DOC,23
25,West-Leech,Rack,L3,,67,DOC,23
26,West-Leech,Rack,L4,,83,DOC,23
27,West-Leech,Rack,L5,,101,DOC,23
28,West-Leech,Rack,L6,,119,DOC,23
29,West-Leech,Rack,L7,,136,DOC,23
30,West-Leech,Grab,Grab,2020-01-30 9:30,,DOC,23
31,West-Leech,Grab,Grab,2020-01-08 12:45,,DOC,23
32,West-Leech,Grab,Grab,2020-02-08,,DOC,23
33,Leech-dwnstrm-confl,Grab,Grab,2020-02-08 11:10,,DOC,23
34,Chris-crk,Grab,Grab,2020-02-20 13:00,,DOC,23
35,Chris-crk,Rack,L1,,37,DOC,23
36,Chris-crk,Rack,L2,,48,DOC,23
37,Chris-crk,Rack,L3,,66,DOC,23
38,Chris-crk,Rack,L4,,81,DOC,23
39,Chris-crk,Rack,L5,,97,DOC,23
