Trip,Parameters,UNITS,MAC,AO,OG,site,metals_values,NPOC_ppm,sample_type,sample,dt_sampled,fillStage_cm,analysis,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,pseudo254,SlopeRatio,E2E3,E4E6,two_seasons,SUVA,pseudo_SUVA,Site,metal_parameters
3,Total Bismuth (Bi),ug/L,NA,NA,NA,CRAGGCREEK,NA,5.177,Grab,Grab,2018-11-23T19:15:00Z,NA,DOC,0.261,8.648,7.071,NaN,20.72645,1.0000674071651272,4.408804258804258,-0.5683475091130012,wet,4.003563840061812,4.003563840061812,CRAGGCREEK,Total Bismuth (Bi)
3,Total Bismuth (Bi),ug/L,NA,NA,NA,CHRISCREEK,NA,4.338,Grab,Grab,2018-11-23T16:55:00Z,NA,DOC,0.205,7.425,6.044,NaN,17.84105,0.9997776428493218,4.1877079796264844,-0.7034158684258087,wet,4.112736284001844,4.112736284001844,CHRISCREEK,Total Bismuth (Bi)
3,Total Boron (B),ug/L,5000,NA,NA,WESTLEECH,NA,6.124,Grab,Grab,2018-11-23T20:15:00Z,NA,DOC,0.388,11.026,8.913,NaN,26.44025,0.9999021752453482,4.250784814041599,-1.295392491467577,wet,4.317480404964076,4.317480404964076,WESTLEECH,Total Boron (B)
3,Total Boron (B),ug/L,5000,NA,NA,WEEKSOUT,NA,10.49,Grab,Grab,2018-11-23T17:15:00Z,NA,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,WEEKSOUT,Total Boron (B)
3,Total Boron (B),ug/L,5000,NA,NA,TUNNEL,NA,5.653,Grab,Grab,2018-11-23T21:45:00Z,NA,DOC,0.311,9.729,7.87,NaN,23.34055,0.9997208331901598,4.2555028962611905,-1.1073075558708763,wet,4.1288784716079965,4.1288784716079965,TUNNEL,Total Boron (B)
3,Total Boron (B),ug/L,5000,NA,NA,LEECHHEAD,NA,7.675,Grab,Grab,2018-11-23T18:00:00Z,NA,DOC,0.577,13.674,11.014,NaN,32.7488,0.9998803752993213,4.336489041739108,-2.215139442231076,wet,4.266944625407167,4.266944625407167,LEECHHEAD,Total Boron (B)
3,Total Boron (B),ug/L,5000,NA,NA,CRAGGCREEK,NA,5.177,Grab,Grab,2018-11-23T19:15:00Z,NA,DOC,0.261,8.648,7.071,NaN,20.72645,1.0000674071651272,4.408804258804258,-0.5683475091130012,wet,4.003563840061812,4.003563840061812,CRAGGCREEK,Total Boron (B)
3,Total Boron (B),ug/L,5000,NA,NA,CHRISCREEK,NA,4.338,Grab,Grab,2018-11-23T16:55:00Z,NA,DOC,0.205,7.425,6.044,NaN,17.84105,0.9997776428493218,4.1877079796264844,-0.7034158684258087,wet,4.112736284001844,4.112736284001844,CHRISCREEK,Total Boron (B)
3,Total Cadmium (Cd),ug/L,5,NA,NA,WESTLEECH,0.08,6.124,Grab,Grab,2018-11-23T20:15:00Z,NA,DOC,0.388,11.026,8.913,NaN,26.44025,0.9999021752453482,4.250784814041599,-1.295392491467577,wet,4.317480404964076,4.317480404964076,WESTLEECH,Total Cadmium (Cd)
3,Total Cadmium (Cd),ug/L,5,NA,NA,WEEKSOUT,NA,10.49,Grab,Grab,2018-11-23T17:15:00Z,NA,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA,WEEKSOUT,Total Cadmium (Cd)
