StationName,DateTime,Wspd,Dir,Rn15,Temp,uDir,uWspd,Rh,sDir,sWspd,WSpd_1,Mx_Spd,Rn_1,RhMax,RhMin,TMax,TMin,PYRavg,Telem,uMx_Spd,uWSpd_1,Precip,SDist,sMx_Spd,sWSpd_1,Mx_Dir,sMx_Dir,uMx_Dir,SQual
,DateTime,kph,deg,mm,C,deg,kph,%,deg,kph,kph,kph,mm,%,%,C,C,W/m2,V,kph,kph,mm,m,kph,kph,deg,deg,deg,
FWx Martins Gulch,2018/12/07 12:15:00,7.9,68,0,2,73,7.3,51,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 12:30:00,8.9,89,0,2.7,94,8.3,50,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 12:45:00,8.9,76,0,3,81,8.4,50,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 13:00:00,12,64,0,2.7,67,11.3,51,,,9.5,21.2,0,56,49,3,1.5,322,14.1,22.5,8.9,483,2.993,,,62,,58,172
FWx Martins Gulch,2018/12/07 13:15:00,9.5,70,0,2.8,76,8.9,50,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 13:30:00,11,66,0,2.4,70,10.4,52,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 13:45:00,9.9,64,0,1.7,67,9.5,55,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 14:00:00,8.8,65,0,1.6,69,8.4,56,,,9.6,21,0,56,49,3,1.5,198,14.1,20.6,9,482,2.996,,,57,,55,184
FWx Martins Gulch,2018/12/07 14:15:00,8.7,70,0,1.5,74,8.1,58,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 14:30:00,10.7,64,0,1.4,69,10.4,57,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 14:45:00,7.8,65,0,1.4,70,7.2,57,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 15:00:00,7.1,61,0,1.2,66,6.7,58,,,8.6,16.6,0,58,56,1.6,1.2,114,14.2,16.5,8.1,482,2.998,,,73,,83,188
FWx Martins Gulch,2018/12/07 15:15:00,8.6,64,0,1,69,8.2,58,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 15:30:00,8.8,47,0,0.8,50,8.5,59,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 15:45:00,8.2,51,0,0.6,55,7.9,58,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 16:00:00,5.6,42,0,0.5,45,5,60,,,7.7,15.8,0,60,57,1.2,0.5,44,13.6,16.8,7.3,483,3,,,85,,88,188
FWx Martins Gulch,2018/12/07 16:15:00,5.5,32,0,0.3,36,5.5,62,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 16:30:00,4.7,20,0,-0.1,24,4.5,65,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 16:45:00,3.7,29,0,-0.3,30,3.5,65,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 17:00:00,3.3,17,0,-0.5,20,3.2,68,,,4.5,11.1,0,68,60,0.5,-0.5,3,13.1,11.6,4.2,483,3.008,,,61,,67,188
FWx Martins Gulch,2018/12/07 17:15:00,1.8,54,0,-0.5,43,1.9,69,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 17:30:00,1.3,273,0,-0.7,293,1.5,69,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 17:45:00,3.4,14,0,-0.3,20,3.2,68,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 18:00:00,0.9,0,0,-0.6,6,1.5,69,,,2.1,8.7,0,72,66,-0.3,-0.7,0,13,8.2,2.2,483,3.006,,,27,,32,188
FWx Martins Gulch,2018/12/07 18:15:00,3.1,336,0,-0.4,338,2.7,68,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 18:30:00,3.3,304,0,-0.4,313,2.7,68,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 18:45:00,5.4,337,0,-0.2,339,4.7,64,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 19:00:00,5.3,2,0,0.2,6,4.8,62,,,4.5,11.6,0,71,62,0.2,-0.6,0,13,12.2,3.9,483,3,,,348,,359,185
FWx Martins Gulch,2018/12/07 19:15:00,2.8,26,0,0.2,28,2.4,64,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 19:30:00,3.6,9,0,0.2,10,3.3,65,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 19:45:00,3.4,241,0,-0.1,240,2.9,68,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 20:00:00,3.3,348,0,0.1,354,2.8,68,,,3.2,7.5,0,70,62,0.3,-0.2,0,13,9.2,2.9,483,2.997,,,347,,0,187
FWx Martins Gulch,2018/12/07 20:15:00,5.3,339,0,0.5,344,4.8,64,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 20:30:00,4,6,0,0.9,9,3.6,65,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 20:45:00,4.6,24,0,1.1,27,4.2,65,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 21:00:00,2.8,305,0,1,313,2.4,66,,,4,11.1,0,69,63,1.1,0.1,0,13,11.5,3.5,483,3.002,,,106,,38,187
FWx Martins Gulch,2018/12/07 21:15:00,4.8,348,0,0.8,350,4.2,65,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 21:30:00,3.2,341,0,0.8,348,2.7,65,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 21:45:00,5.9,323,0,0.9,327,5.2,64,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 22:00:00,4.1,19,0,1.1,23,3.7,64,,,4.3,10,0,66,63,1.1,0.8,0,12.9,10.4,3.8,483,2.997,,,341,,344,188
FWx Martins Gulch,2018/12/07 22:15:00,3.9,25,0,1.3,26,3.5,64,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 22:30:00,4.4,354,0,1.3,359,4.1,65,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 22:45:00,4.3,3,0,1.3,5,3.9,64,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 23:00:00,6.1,3,0,1.4,3,5.9,63,,,4.7,10,0,66,62,1.4,1.1,0,12.9,10.8,4.3,483,2.996,,,54,,45,188
FWx Martins Gulch,2018/12/07 23:15:00,5.5,359,0,1.3,358,5.1,62,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 23:30:00,4.6,353,0,1,355,4.3,64,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/07 23:45:00,5,354,0,0.7,354,4.5,65,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 00:00:00,4.8,1,0,1,6,4.2,65,,,5.3,12.9,0,66,62,1.4,0.7,0,12.9,13.6,4.9,483,2.996,,,353,,354,189
FWx Martins Gulch,2018/12/08 00:15:00,4.4,7,0,1.1,11,3.9,65,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 00:30:00,4.4,6,0,1.3,5,3.8,64,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 00:45:00,8,359,0,1.5,1,7.7,63,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 01:00:00,8.6,355,0,1.5,357,8.3,62,,,6,16.8,0,65,62,1.5,1,0,12.9,16.5,5.5,483,2.994,,,330,,7,188
FWx Martins Gulch,2018/12/08 01:15:00,5.8,345,0,1.5,346,5.1,63,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 01:30:00,5.4,345,0,1.4,346,4.8,64,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 01:45:00,6.6,357,0,1.5,0,6.3,64,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 02:00:00,5.7,354,0,1.5,2,5.1,65,,,6.1,12.9,0,65,62,1.5,1.4,0,12.8,13.7,5.5,483,2.994,,,340,,0,188
FWx Martins Gulch,2018/12/08 02:15:00,8.2,342,0,1.3,346,7.5,66,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 02:30:00,5.6,335,0,1.4,335,5,66,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 02:45:00,7.3,344,0,1.4,347,6.9,68,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 03:00:00,6.9,351,0,1.4,353,6.2,69,,,6.9,15.9,0,69,64,1.5,1.3,0,12.8,15.8,6.3,483,2.994,,,338,,329,189
FWx Martins Gulch,2018/12/08 03:15:00,8.1,342,0,1.4,346,7.5,70,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 03:30:00,6.3,356,0,1.2,357,5.8,77,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 03:45:00,6,351,0,1,354,5.8,80,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 04:00:00,6.8,333,0,1,337,6,79,,,7,15.3,0,81,68,1.5,0.9,0,12.8,15.3,6.5,483,2.996,,,329,,335,188
FWx Martins Gulch,2018/12/08 04:15:00,5.3,5,0,1.1,8,5.1,78,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 04:30:00,6.9,327,0,1.3,330,6.2,77,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 04:45:00,6,353,0,1.2,355,5.6,82,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 05:00:00,8.2,343,0,1,346,7.7,85,,,6.4,15.9,0,85,77,1.3,1,0,12.8,18.4,5.9,483,2.996,,,336,,1,187
FWx Martins Gulch,2018/12/08 05:15:00,4,308,0.25,1,309,3.4,87,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 05:30:00,4.8,239,0,0.9,250,4.4,91,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 05:45:00,7.1,310,0.25,0.8,315,6.5,91,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 06:00:00,7.1,327,0.25,0.6,331,6.6,93,,,5.5,13.2,0.76,94,84,1,0.6,0,12.8,14.7,5,484,2.997,,,335,,13,176
FWx Martins Gulch,2018/12/08 06:15:00,4.1,30,0.25,0.7,32,3.7,93,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 06:30:00,3.8,266,0,0.6,268,3.7,95,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 06:45:00,5.5,352,0.25,0.7,355,5.4,96,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 07:00:00,4.5,329,0.26,0.8,331,4.2,96,,,4.5,10.9,0.76,96,92,0.8,0.6,0,12.8,13.6,4.1,484,3.003,,,341,,334,174
FWx Martins Gulch,2018/12/08 07:15:00,6.6,332,0.76,0.9,336,5.7,96,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 07:30:00,2.8,294,0.51,1,295,2.8,97,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 07:45:00,3.4,280,0,1.1,283,3.1,97,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 08:00:00,4.2,260,0.25,0.8,262,3.9,97,,,4.5,14.5,1.52,97,96,1.1,0.8,0,12.7,14.6,4.1,486,3.015,,,335,,353,242
FWx Martins Gulch,2018/12/08 08:15:00,2.4,285,0.25,0.9,284,2.6,97,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 08:30:00,4,304,0,1.2,308,3.7,98,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 08:45:00,4.7,273,0,1.2,277,4.4,97,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 09:00:00,5,316,0,1.6,317,4.5,97,,,4,9.4,0.25,98,97,1.6,0.8,29,13,9,3.8,486,3.007,,,349,,356,200
FWx Martins Gulch,2018/12/08 09:15:00,3.5,245,0,1.6,248,3.3,97,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 09:30:00,3.1,269,0,2,271,2.7,97,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 09:45:00,3.7,243,0,2.1,248,3.3,97,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 10:00:00,2.6,335,0,2.4,339,2.6,97,,,3.3,6.8,0,98,97,2.4,1.6,78,13.3,7.5,3,486,3.006,,,33,,221,217
FWx Martins Gulch,2018/12/08 10:15:00,0.9,216,0,2.6,216,1.7,97,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 10:30:00,2.9,22,0,2.5,26,2.5,97,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 10:45:00,2.9,163,0,2.4,166,2.6,97,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 11:00:00,1.9,317,0,2.7,302,2,97,,,2.1,6.7,0,97,96,2.7,2.4,64,13.4,6.8,2.2,486,3.008,,,101,,115,220
FWx Martins Gulch,2018/12/08 11:15:00,3.1,335,0,2.9,337,3.1,95,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 11:30:00,3.4,75,0,3.3,82,3.1,96,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 11:45:00,1.9,132,0,3.7,135,2.3,93,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 12:00:00,2.8,63,0,3.8,63,2.4,94,,,3,7.3,0,97,93,3.8,2.7,147,14.1,7.4,2.8,485,2.985,,,347,,335,189
FWx Martins Gulch,2018/12/08 12:15:00,2.4,110,0,4.1,120,2.4,93,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 12:30:00,5.2,98,0,3.8,104,4.8,96,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 12:45:00,5.6,107,0,3.6,112,5.1,96,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 13:00:00,5.8,93,0,3.4,100,5.4,97,,,4.6,11.1,0,97,93,4.1,3.4,108,13.7,11.5,4.3,485,2.987,,,81,,74,172
FWx Martins Gulch,2018/12/08 13:15:00,4.8,93,0,3.4,98,4.5,97,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 13:30:00,4.8,84,0,3.4,88,4.5,98,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 13:45:00,8.6,85,0,3.1,92,8.2,98,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 14:00:00,6.7,85,0,2.9,90,6.2,98,,,5.9,13.2,0,98,97,3.4,2.9,54,13.3,13.5,5.6,485,2.99,,,77,,107,189
FWx Martins Gulch,2018/12/08 14:15:00,6.8,76,0,2.8,80,6.4,98,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 14:30:00,7.2,68,0,2.6,71,6.8,99,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 14:45:00,5.9,65,0,2.5,69,5.5,99,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 15:00:00,4.2,86,0,2.5,90,4,99,,,5.9,12.1,0,99,98,2.9,2.5,19,13.1,13.1,5.6,485,3.008,,,78,,83,237
FWx Martins Gulch,2018/12/08 15:15:00,7.1,88,0,2.4,93,6.6,99,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 15:30:00,8.8,50,0,2.3,54,8.5,99,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 15:45:00,5.8,39,0,2.3,43,5.4,99,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 16:00:00,5.5,51,0,2.3,55,5,99,,,6.6,14.2,0,99,99,2.5,2.3,16,13,15.4,6.2,486,3.013,,,57,,61,222
FWx Martins Gulch,2018/12/08 16:15:00,5.7,49,0,2.3,54,5.3,99,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 16:30:00,2.4,29,0,2.3,37,2.4,99,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 16:45:00,1.9,292,0,2.2,302,2.1,99,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 17:00:00,6.5,355,0,2.2,357,6,99,,,4.3,15.8,0,99,99,2.4,2.2,1,12.9,16.1,4.2,486,3.008,,,80,,74,222
FWx Martins Gulch,2018/12/08 17:15:00,4.4,6,0,2.2,9,4.2,99,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 17:30:00,6.9,15,0,2.2,17,6.8,99,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 17:45:00,7.1,2,0,2.2,5,7,99,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 18:00:00,5.6,30,0,2.2,34,5.4,99,,,6,18.1,0,99,99,2.2,2.2,0,12.9,17.6,5.8,486,3.008,,,348,,350,219
FWx Martins Gulch,2018/12/08 18:15:00,5.9,24,0,2.3,28,5.6,99,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 18:30:00,5.9,35,0,2.4,42,5.6,99,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 18:45:00,8.1,47,0,2.6,51,7.6,97,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 19:00:00,7.8,46,0,2.8,49,7.3,96,,,7,16.3,0,99,96,2.8,2.2,0,12.8,17.3,6.6,485,3.004,,,52,,62,201
FWx Martins Gulch,2018/12/08 19:15:00,8.2,38,0,2.9,41,7.9,95,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 19:30:00,7.9,37,0,3.1,41,7.3,94,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 19:45:00,8.7,43,0,3.5,49,8.2,93,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 20:00:00,12.3,53,0,3.7,59,11.6,91,,,9.6,22.4,0,96,91,3.7,2.8,0,12.8,23.1,9.1,486,3.006,,,47,,65,283
FWx Martins Gulch,2018/12/08 20:15:00,13.8,64,0,3.9,72,12.9,91,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 20:30:00,16.3,65,0,3.7,71,15.8,90,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 20:45:00,16.5,62,0,3.8,66,16,88,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 21:00:00,12.6,62,0,4,67,12,84,,,14.6,30.3,0,92,84,4,3.7,0,12.8,30.2,14,485,2.987,,,45,,82,181
FWx Martins Gulch,2018/12/08 21:15:00,13.4,62,0,4.1,66,12.6,83,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 21:30:00,9.8,75,0,3.9,82,9,84,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 21:45:00,5.9,88,0,3.6,93,5.5,84,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 22:00:00,3.1,9,0,3.1,22,3.2,90,,,9,29,0,90,82,4.1,3.1,0,12.8,31.7,8.5,486,2.996,,,58,,62,168
FWx Martins Gulch,2018/12/08 22:15:00,10.2,62,0,3.3,65,9.7,83,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 22:30:00,11,63,0,3.5,70,10.6,81,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 22:45:00,13.5,57,0,3.7,61,13.2,80,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 23:00:00,14.7,64,0,3.7,70,14.2,80,,,12.3,32.7,0,90,77,3.8,2.9,0,12.8,38.4,11.8,485,2.983,,,92,,100,185
FWx Martins Gulch,2018/12/08 23:15:00,10.5,63,0,3.8,68,9.8,79,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 23:30:00,8.9,58,0,3.5,61,8.4,79,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/08 23:45:00,10.5,71,0,3.3,75,10,80,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 00:00:00,10.2,64,0,3.3,68,9.6,80,,,10.5,20.6,0,81,78,3.8,3.3,0,12.8,21.5,10,485,2.984,,,42,,69,188
FWx Martins Gulch,2018/12/09 00:15:00,12.8,57,0,3.2,62,12.4,81,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 00:30:00,9.6,57,0,3.1,61,9.1,81,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 00:45:00,11,59,0,3.1,64,10.4,81,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 01:00:00,12.6,57,0,3.1,61,11.8,81,,,11.3,24,0,82,80,3.3,3,0,12.8,28.3,10.7,486,2.985,,,80,,79,187
FWx Martins Gulch,2018/12/09 01:15:00,13.8,54,0,3.3,59,13.2,79,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 01:30:00,8.8,48,0,3.3,53,8.1,79,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 01:45:00,12.9,56,0,3.2,59,12.2,80,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 02:00:00,10.9,58,0,3.2,64,10.2,78,,,11.1,29.2,0,82,78,3.4,3.1,0,12.7,32.5,10.5,485,2.985,,,74,,69,188
FWx Martins Gulch,2018/12/09 02:15:00,10.4,57,0,3.4,63,9.7,76,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 02:30:00,11.7,71,0,3.3,75,11.1,77,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 02:45:00,13.9,70,0,3.2,74,13.4,77,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 03:00:00,15.2,72,0,3.4,76,14.6,75,,,12.8,28.1,0,78,75,3.4,3.2,0,12.7,27,12.2,485,2.983,,,94,,96,189
FWx Martins Gulch,2018/12/09 03:15:00,18.6,77,0,3.8,81,17.5,73,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 03:30:00,19,75,0,3.9,78,18.5,71,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 03:45:00,18.2,77,0,4,82,17.4,71,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 04:00:00,17.7,79,0,4.2,81,17.5,71,,,18.5,36.5,0,75,69,4.2,3.4,0,12.7,36.5,17.8,485,2.981,,,84,,65,188
FWx Martins Gulch,2018/12/09 04:15:00,12.7,77,0,4,82,12.2,73,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 04:30:00,11.1,73,0,4,78,10.5,76,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 04:45:00,8.3,90,0,3.8,93,7.5,78,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 05:00:00,8,73,0.51,3.7,78,7.7,84,,,9.9,26.8,0.51,84,70,4.2,3.7,0,12.7,26.7,9.4,486,2.983,,,48,,52,172
FWx Martins Gulch,2018/12/09 05:15:00,8.1,87,0,3.5,94,7.5,86,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 05:30:00,9.5,68,0.25,3.7,72,8.9,85,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 05:45:00,8.7,69,0,3.6,76,7.8,89,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 06:00:00,5.4,66,0,3.5,67,4.8,91,,,7.7,20.2,0.25,91,83,3.7,3.5,0,12.8,21,7,486,2.982,,,72,,79,188
FWx Martins Gulch,2018/12/09 06:15:00,4.8,5,0.51,3.5,20,4.4,92,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 06:30:00,5.8,48,0.51,3.7,51,5.3,93,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 06:45:00,7.5,70,0.76,3.7,76,7,94,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 07:00:00,8.3,65,0.51,3.8,71,8,94,,,6.4,14.5,2.29,94,90,3.8,3.5,0,12.8,16,6,488,2.98,,,89,,100,187
FWx Martins Gulch,2018/12/09 07:15:00,4,7,0.51,3.8,18,3.5,95,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 07:30:00,3.9,314,0.25,3.7,319,3.6,97,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 07:45:00,2.6,301,0.25,3.6,323,2.9,97,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 08:00:00,4.4,120,0.25,3.8,129,4,98,,,3.6,10.5,1.27,98,94,3.8,3.5,0,12.7,10.8,3.4,489,2.983,,,39,,49,186
FWx Martins Gulch,2018/12/09 08:15:00,5.9,111,0,4.2,116,5.7,98,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 08:30:00,4.8,106,0,4.2,113,4.5,98,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 08:45:00,2.3,66,0.25,4.3,99,2.4,98,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 09:00:00,2.9,272,0.51,3.9,276,2.8,98,,,4.2,11.5,0.76,98,98,4.3,3.8,4,12.7,13,4.1,490,3.001,,,92,,94,224
FWx Martins Gulch,2018/12/09 09:15:00,2.2,228,0.51,3.8,227,2.8,98,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 09:30:00,2.4,218,0.51,4,209,2.5,99,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 09:45:00,0.8,116,0.51,4.1,120,1.6,99,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 10:00:00,1.7,62,0.76,4.4,68,2.3,99,,,2.1,6.6,2.29,99,98,4.4,3.8,20,12.8,7.2,2.5,492,2.992,,,73,,73,198
FWx Martins Gulch,2018/12/09 10:15:00,3.1,124,0.51,4.8,128,3.1,99,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 10:30:00,3,123,0.51,5,128,2.8,99,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 10:45:00,4.1,111,0.51,5.2,117,3.8,99,,,,,,,,,,,,,,,,,,,,,
FWx Martins Gulch,2018/12/09 11:00:00,4.3,91,0.76,5.2,97,4,99,,,3.9,7,2.29,99,99,5.2,4.4,27,12.8,7.7,3.7,494,2.988,,,136,,140,204
FWx Martins Gulch,2018/12/09 11:15:00,2.9,125,0.76,5.2,134,3.1,99,,,,,,,,,,,,,,,,,,,,,
